北京多点科技股份有限公司,测试开发工程师,13-26万_北京_本科或以上_2年工作经验,互联网/移动互联网/电子商务,5小时前,"岗位职责：
1）参与设计项目的持续集成方案， 制定测试计划，设计测试用例，执行功能测试、接口测试、性能测试。
2）按照测试管理流程，对产品进行测试，跟踪应用缺陷直至符合服务端发布标准。
3）参与项目需求分析，关注项目需求的可测性，设计的合理性。
岗位要求：
1）计算机相关专业毕业，有两年以上的互联网服务测试经验。
2）熟悉H5，javascript， 可承担产品的H5页面自动化测试开发。
3）至少有Java，Python，Ruby 任意一种语言开发能力，能承担接口的自动化测试开发。
4）对 MySQL/MongoDB/Redis 等数据库有一定的了解。有使用经验者优先。
5）熟练使用Linux／MacOS操作系统，有基本的shell脚本编写能力。
6）有自动化测试工具／框架的使用经验优先。例如Selenium/Appium/HttpClient/LR/JMETER。
7）有良好学习能力，善于思考，能够在一定压力下独立开展工作。
"
作业盒子,高级测试开发工程师,28-56万_北京_本科或以上_3年工作经验,互联网/移动互联网/电子商务,昨天,"岗位职责：
1. 根据项目设计与实现有关自动化测试的用例与代码；
2.  根据项目特点，开发合适测试工具或自动化解决方案，提高测试效率；
3.  参与程序架构和代码的评审工作，并提出改进意见；
4.  设计与执行测试用例，跟踪定位产品软件中的缺陷或问题；
5.  与项目相关人员就项目进度和问题进行沟通。
任职资格：
1.  计算机相关专业统招本科以上学历；
2.  具有设计和开发测试框架或平台的经验；
3.  熟悉PHP，至少熟悉一种脚本语言，如Python/Perl/Shell等；
4.  熟悉接口测试和自动化测试，熟悉单元测试工具和常见的开源测试工具。；
5.  熟悉Jenkins/Git/SVN等版本管理工具，熟悉Linux/Unix操作系统；
6.  热爱互联网及测试相关技术，具有快速的学习能力；
7.  具有较强的事业心，良好的沟通能力，工作主动积极，具备团队合作精神。
"
小船出海教育科技(北京)有限公司,测试开发工程师,14-28万_北京_本科或以上_2年工作经验,互联网/移动互联网/电子商务,昨天,"工作职责：
1.负责百度作业帮子方向产品的质量保证工作
2.制定项目测试方案、测试计划、测试Case，跟踪定位产品软件中的缺陷或问题，推动问题解决
3.开发测试脚本及部分内部工具平台，支撑业务测试、上线、监控、数据统计分析等
4.与产品PM、RD、UE等密切合作，快速迭代产品，并推向市场
职位要求：
1.工作经验1年及以上、2017年优秀毕业生也考虑
2.计算机软件、通讯相关专业本科及以上
3.熟悉基本数据结构和算法设计，熟悉C/C++、Java、PHP、Shell、Python、Objective-c中至少一门编程语言
4.熟悉常用的互联网开源工具或者框架，如 redis、memcache、消息队列、jenkins等
5.熟悉linux下的命令行操作，对 LAMP 架构有一定了解
6.学习能力强，优秀的分析问题和解决问题的能力，勇于解决难题
7 热爱移动互联网，强烈的上进心和求知欲，具备良好的沟通能力和团队合作精神
"
京东金融集团,测试开发工程师（006736）,面议_北京-大兴区_本科或以上_4年工作经验,互联网/移动互联网/电子商务,前天,"岗位职责：
1、负责保险理财业务、消费金融产品线的测试任务；
2、负责发现测试痛点，开发合适测试工具；
3、能够提出自动化解决方案，提高测试效率；
4、推进项目进度保障运营质量。
任职资格：
1、计算机专业相关专业本科及以上学历，3年及以上测试或开发经验；
2、熟练使用java语言，并至少熟悉Python、Shell中的一种脚本语言；
3、精通软件测试理论、方法和过程，掌握多种自动化测试技术，并能不断学习、总结和提高；
4、对软件测试有浓厚的兴趣和丰富经验，较强的发现问题，分析问题的能力，善于学习总结；
5、有效的影响和推动项目团队质量意识；
6、有互联网行业工作经验，从事金融、电子商务领域开发测试工作者优先。
"
多点在线,高级测试开发工程师,16-30万_北京_本科或以上_经验不限,互联网/移动互联网/电子商务,前天,"岗位职责：
1、针对产品功能独立进行测试设计、测试执行、问题反馈，并推动RD进行问题修复；
2、与相关同学一起完善产品测试流程，建立常用的测试用例库，用于系统回归测试；
3、参与多点全系列互联网产品，和内部信息系统的研发与测试过程：包括但不限于功能测试，单元测试，系统测试，性能测试，产品效果评估评测等多方面；
4、可能涉及的业务领域包括：夜神安卓模拟器（window客服端、虚拟机技术、Android系统）、夜神联运/发行SDK、夜神官网、夜神游戏中心、夜神游戏论坛、后台接口等。
您需要：
1、计算机相关专业，本科及以上学历；
2、够熟练使用C/C++/QT/Java、Python/PHP等一种或几种技术进行软件开发；
Selenium前端自动化；Robotium/Appium/KIF移动端自动化；
Jmeter压力测试；接口自动化测试；
3、热爱互联网，对互联网相关业务或技术充满好奇及热情，在软件测试领域，对发现、分析及解决问题的工作有浓厚兴趣；
4、有责任心，敢于担当，工作积极主动；
5、具备良好的团队合作精神，能融入多功能团队并与其他部门同事进行良好的沟通及合作。
加分项：熟悉windows客户端测试、虚拟机技术、Android系统、敏捷模式、单元测试。
如果对这些您都是信手拈来，那就来看看我们的诚意吧！
1、与BAT同级别待遇，14.6薪，五险一金+补充医疗保险；
2、与各路大BOSS一起共事，获得更快的成长和晋升，以及不断突破自我的挑战；
3、单月单休双月双休，弹性工作制，上下班是不用打卡的哦；
4、爱家计划：多点为在京无住房的同学购房助力，提供无息购房贷款，早日构筑自己的家
5、比法定年假更多的假期：10天超长年假，这下就不用担心没有假期，来一场说走就走的旅行啦；
6、超强办公利器：顶配笔记本+超大显示器；
7、入职转正的小伙伴，可以在人事MM处报名，由人事MM按照规定代办《工作居住证》的哦。
另外还有棋牌、超级电视、篮球、台球，生日礼物、节日礼品礼金，图书经费，不定期聚餐，不定期组织去影院看电影，让你happy工作happy玩耍，福利多多多多多多多，零食吃吃吃吃吃吃.......亲爱的，有没有心动呢？
心动不如行动，快快行动起来，投递简历，期待你的加入哦，么么哒~~
"
美团点评,移动端测试开发（Android/iOS测试）,面议_北京-朝阳区_学历不限_1年工作经验,互联网/移动互联网/电子商务,前天,"高级QA工程师/测试主管（Android/iOS应用测试）
工作职责
参与美团移动应用的测试工作。具体如下：
参与移动应用开发的整个过程：参与技术评审，制定测试计划，设计测试用例，参与代码Review，组织和执行模块测试、集成测试和回归测试，跟踪应用缺陷直至符合发布标准，分析、推动解决线上问题，并对应用开发过程做分析和总结；
为保证应用质量，引入和完善新的测试方法，如稳定性测试、性能测试、安全测试、异常测试、兼容性测试等；
了解并参与改进应用架构中涉及到的技术方案，提高应用的可测性；
优化跟产品、开发团队的协作流程，提高测试任务的完成质量和测试效率。
职位要求
计算机或相关专业本科以上学历，或有相当水平的从业经历；
两年以上移动互联网应用开发或测试经验，熟悉软件测试流程和测试用例设计方法；
有一定的编程能力（熟悉Objective-C或Java编程，并了解Ruby/Python/JavaScript/Shell其中至少一种）；
熟练使用常见的iOS应用调试工具（Xcode、Xcode Commandline Tools、HTTP代理、抓包工具等）；
或熟练使用常见的Android应用调试工具（Android SDK、Android Studio、HTTP代理、抓包工具、ADB等）；
熟悉HTTP协议、Web架构、RESTful API及互联网应用的工作原理；
了解敏捷开发、持续集成；
对技术有浓厚兴趣，乐于挖掘问题背后的技术细节（Hack精神）。
加分项
了解Linux或Unix系统（尤其是Mac OS X）及Git的使用，开源工具爱好者；
熟悉iOS编程规范，熟悉iOS系统中的Developer选项，或熟悉Android编程规范及Android设备的Developer选项；
有移动应用或Web前后端开发经验；
主管职位需有一年以上建立、发展或管理团队经验。
"
唱吧,服务端测试开发工程师-北京-00046,面议_北京_本科或以上_2年工作经验,互联网/移动互联网/电子商务,前天,"岗位职责
1. 唱吧持续集成环境的建设与改进。
2. 与开发和产品一起，从产品定义与代码之中，明确测试需求，进行服务器端自动化测试的计划，设计和实现。
3. 开发切合业务逻辑的测试工具，以提高测试效率。
4. 对业内新的测试技术和方案，进行调研。
任职条件
1. 两年以上自动化测试经验，熟悉自动化测试框架的设计。
2. 能够根据产品需求和代码，制定高质量的测试计划与测试设计。
3. 熟练使用Java，熟悉设计模式与基础数据结构。
4. 具有很强的解决问题能力，团队合作能力，沟通能力。
5. 有服务器端性能测试经验，和PHP编程经验，会有加分，但不强制。
"
美团点评,前端测试开发工程师,23-45万_北京-朝阳区_本科或以上_3年工作经验,互联网/移动互联网/电子商务,前天,"【岗位职责】
1.负责美团点评到餐事业部相关产品的测试工作，保证产品质量，提升交付效率
2.参与需求和技术评审，根据需求来提高产品可测性
3.维护现有自动化测试体系，编写自动化测试脚本，改进测试效率
4.关注并引入行业前沿技术（工具、方法等），引领团队技术水平
5.负责培育、发展和管理团队，构建能用技术手段解决交付流程中痛点难点的QA团队
【职位要求】
1.令人尊敬的Hacker或技术专家，在应用开发或测试领域有丰富的经验
2.熟悉Java或C编程，并熟悉Ruby/Python/JavaScript/Shell等脚本编程中至少一种
3.熟悉互联网应用开发测试流程、代码分支管理、CI环境和流程等基本技能
4.熟悉HTTP协议、Web架构、RESTful API及互联网应用的工作原理
5.熟悉常见iOS调试工具（Xcode Commandline Tools等）、Android调试工具（ADB、DDMS等）、前端调试工具（Chrome DevTools、YSlow等）其中之一
【加分项】
1.有移动应用或Web前后端开发经验
2.向开源项目提交过Pull Request
3.投递简历时附带本人的Github项目
"
便利蜂,高级测试开发工程师,28-49万_北京_本科或以上_5年工作经验,互联网/移动互联网/电子商务,前天,"岗位职责：
1.       负责网站以及相关业务支撑系统的测试
2.       根据需求和交付要求编写测试脚本，搭建自动化测试环境，执行测试及Bug跟踪
3.       根据项目测试计划制定测试用例并实施，编写测试报告等相关文档，保证网站和系统质量和进度
4.       对互联网产品进行白盒测试、兼容性测试、容错性测试、运维测试等
任职要求：
1.       计算机软件等相关专业本科（含）以上学历、至少5年以上测试经验
2.       从事过互联网行业者优先，有两年开发经验者优先
3.       掌握软件工程、软件测试理论、测试流程及方法
4.       掌握各种软件测试技术、方法、如功能测试、性能测试、安全性、可靠性、界面等、掌握至少一种自动化测试工具
5.       具有良好的沟通协调和文档撰写能力
6.       热爱测试工作，善于发现、分析和总结问题，责任心强，吃苦耐劳，具备较强的沟通能力，有抗压能力，能适应高强度的工作
7.       学习能力强，能承受一定工作压力，富有团队精神，有责任心，良好的沟通能力
8.       熟悉各种WEB前端技术，包括XHTML/XML/CSS/javascript等
9.       熟悉Unix、Linux、Windows等操作系统，熟悉Oracle、Mysql等数据库
10.     熟悉SQL注入、XSS、CSRF、URL跳转、钓鱼、常见的web安全漏洞原因及修复工作
11.     熟悉一个开发语言（JAVA、.Net、C/C++/C#、JSP、ASP、PHP）
"
美团点评,高级测试开发工程师（客户端方向）(外卖测试组-北京总部),12-18万_北京-朝阳区_本科或以上_经验不限,互联网/移动互联网/电子商务,前天,"岗位职责
负责移动端产品的功能测试，性能测试，及其他专项测试；
参与技术评审，制定测试计划，设计测试用例，组织及执行整个测试流程（模块、集成和回归测试），跟踪分析、推动解决测试过程中问题及线上问题；
优化产品研发测试上线流程，提高产品质量和测试效率；
引入和拓展测试方法，开发测试工具，构建测试框架，开发维护case。
职位要求
计算机或相关专业本科及以上学历，互联网公司移动测试方向3年及以上经验；
熟悉常用软件测试流程和测试用例设计方法，了解常见问题的处理方案；
熟练使用常见的Android/iOS应用调试测试工具，了解互联网相关协议，熟练使用一种开发语言；
有良好的逻辑分析能力和沟通能力，快速学习能力，有责任感主动性强，良好的团队合作精神，能适应一定压力的工作。
加分项
熟悉常用移动端测试框架并有框架搭建经验或优化经验，至少熟练使用Objective-C或Java中一种语言，或一种脚本语言；
熟悉常用移动端性能、稳定性等测试方案，并能够进行方案设计，熟练使用相关测试工具及监控工具，能够进行问题的分析定位；
对Android或iOS有较为深入的了解。
"
小米,高级测试开发工程师-小米电视,21-35万_北京_本科或以上_5年工作经验,互联网/移动互联网/电子商务,前天,"职位描述：
1、承担项目测试,包括测试需求分析,计划方案制定,测试用例设计和执行,完成测试报告；
2、根据产品功能说明编写测试计划，设计测试用例和测试数据；
3、执行具体测试任务并确认测试结果，完成测试报告以及测试结果分析；
4、承担产品的功能、自动化测试；
5、在测试各个环节过程中主动与开发人员沟通，保证测试工作的有效性和完整性；
职位要求
1、较强的沟通、协调能力、分析问题和解决问题能力
2、熟练Java/C/C++编程，熟悉Android单元测试和自动化测试框架。
3、精通测试理论、测试策略、测试用例设计方法等相关测试技术。
4、熟练使用Linux操作系统。
5、有白盒测试等经验更佳。
"
小米,嵌入式测试软件开发工程师,21-35万_北京-海淀区_本科或以上_3年工作经验,互联网/移动互联网/电子商务,前天,"岗位职责：
1.	分析智能电视生产测试需求，并设计生产测试方案
2.	开发智能电视生产测试功能
3.	追踪，改进智能电视生产测试反馈问题，设计并实施改善措施
4.	测试数据采集和分析；测试问题的分析和解决；优化测试序列，提高测试效率
5.	编写和归档测试相关的文档
岗位要求：
1.	较强java/C/C++编码能力
2.	具有本科以上学历，有二年以上相关工作经验和完全独立的工作能力
3.	熟悉智能电视、机顶盒或手机等相关产品的生产测试规范及测试流程
4.	接受过生产相关测试原理及实践方面的培训，有手机或机顶盒生产测试工具开发经验优先
5.	较好的表达及沟通能力、积极的工作态度
"
搜狐新媒体,集团总部-大数据中心-测试开发工程师（广告系统）,21-35万_北京_本科或以上_2年工作经验,互联网/移动互联网/电子商务,前天,"岗位职责:
1.负责大数据中心的产品测试工作，结合各产品特点搭建、维护测试环境，并持续优化改善；
2.根据项目需求，制定测试方案，开发测试脚本和测试用例；
3.收理、整理测试结果及监控结果,编写测试报告；
4.根据项目要求，搭建测试环境，进行部署测试。
任职资格:
1.本科及以上，计算机相关专业，具备1年以上测试工作经验;
2.熟练运用各种黑盒测试用例设计方法，熟悉缺陷管理工具及自动化测试工具；
3.熟悉敏捷开发流程，规范编写项目测试计划、测试用例、测试报告；
4.有Jmeter、LoadRunner、Selenium、Robotium、Monkey等经验者优先；
5.学习能力强，具有优秀的沟通协调能力及团队合作精神，能胜任重复性和挑战性的工作。
"
阿里巴巴,阿里影业-粤科软件-资深测试开发工程师-北京,面议_北京_本科或以上_3年工作经验,互联网/移动互联网/电子商务,前天,"工作职责：
1、依据产品需求，制定并推进测试计划和方法，负责产品的测试工作；
2、参与产品需求和架构设计评审，保证产品的可测试性；
3、配合解决测试中发现的缺陷，及复杂技术问题；
4、参与测试相关流程、方法和工具等创新，努力提升测试的质量和效率；
5、经验丰富者，进行团队的测试方法和技术培训，带领团队测试技术的发展。
任职要求：
1、熟练掌握性能测试和自动化测试技术；
2、熟悉C/C++/Java/python/shell等至少一种编程语言，熟悉数据库mysql；
3、具有较强的测试技术思维及业务敏感度，善于进行创新；
4、具有主动学习能力，较好的沟通能力、团队合作精神和挑战进取精神；
5、具有出色的带队攻坚能力，能进行测试技术攻关者优先。
"
美团点评,移动测试开发技术专家,36-60万_北京-朝阳区_本科或以上_3年工作经验,互联网/移动互联网/电子商务,前天,"我们能够提供的机会：
参与构建支撑宇宙最大O2O公司20+业务线的移动端自动化测试平台，持续量化优化美团点评系统产品的用户体验。
职位要求（满足以下职位要求中的任意两点即可）：
1、具有优秀的Coding能力，熟悉常见的数据结构与算法，对设计模式有一定了解；
2、具备较强跨团队跨部门沟通协作能力，对工具服务需求有敏锐的嗅觉，并能将其落地实现交付业务方；
3、熟悉移动端Android/iOS主流自动化测试框架（Appium/Robotium/UI Automator等等），具备自动化测试框架开发能力；
4、熟悉Java，具有Java Web开发经验，了解Java Web开发相关框架，如SpringMVC、MyBatis、Struts、Spring、Hibernate等；
5、对移动端线上质量（如崩溃率、性能等）监控、分析与运营有比较丰富的经验；
加分项：
1、参与开源项目开发，或研读过优秀开源项目，有持续更新的技术博客；
2、具有移动端Android/iOS开发经验；
"
美团点评,服务端测试开发工程师,面议_北京-朝阳区_本科或以上_1年工作经验,互联网/移动互联网/电子商务,前天,"工作职责
负责后台服务的功能测试、接口测试、性能测试和压力测试； 定义测试上线流程、测试环境及测试数据，并和运维团队一起搭建测试集群；
引进和开发各种工具来提高测试效率；
构建服务端CI环境，将功能测试、接口测试和压力测试集成到CI环境中。
职位要求
计算机或相关专业本科以上学历，或有相当水平的从业经历；
两年以上后台服务开发或测试经验，熟悉软件测试流程和测试用例设计方法；
有良好的编程能力（熟悉Java或C编程，并熟悉Ruby/Python/JavaScript/Shell等脚本编程中至少一种）；
熟悉压力测试，熟练使用压测工具Jmeter、http_load等；
熟悉HTTP协议、Web架构、RESTful API及互联网应用的工作原理；
熟悉Jenkins的配置和使用；
熟练使用Linux或Unix系统（尤其是Mac OS X）及Git，开源工具爱好者；
了解JVM或解释器的实现，了解nginx和Apache的使用；
对技术有浓厚兴趣，乐于构建工具或对工具做改造（Hack精神）。
加分项
了解nginx和Apache的工作原理；
熟知JVM的工作原理；
熟悉SOA架构下的测试环境搭建和测试数据建设；
给开源工具提交过patch。
主管职位需有一年以上建立、发展或管理团队经验。
"
TCL互联网事业本部,测试开发工程师,面议_北京_本科或以上_3年工作经验,互联网/移动互联网/电子商务,前天,"岗位职责：
1、参与项目需求、研发设计的相关讨论，从测试的角度帮助提升产品质量；
2、根据项目计划制定项目测试计划、编写测试用例，保证项目质量和进度；
3、设计与执行测试用例，协助开发跟踪定位产品软件中的缺陷或问题；
4、能够开发合适的测试工具或提出好的解决方案，提高测试效率。
岗位要求：
1、国家统招本科正规院校毕业；
2、具备2年以上测试经验；
3、能够熟练使用JAVA进行测试脚本的编写；
4、熟悉Linux，并能进行shell编程优先；
5、熟悉一种或几种自动化测试框架，能够独立完成自动化测试优先；
6、熟悉Jmeter使用，并能进行API测试用例编写优先；
7、熟练掌握SQL优先；
8、有性能测试工作经验优先；
9、有互联网工作经验，从事大数据、云服务等领域开发测试工作者优先。
"
交控科技股份有限公司,嵌入式测试工具开发工程师,面议_北京-丰台区_本科或以上_2年工作经验,互联网/移动互联网/电子商务,前天,"岗位职责：
1.         负责嵌入式软件程序的编写，对简单驱动的开发测试以及驱动移植优化等。
2.         完成测试调试工装、测试平台的嵌入式软件系统的现场调试、优化等工作；
3.         完成相关的需求、设计文档的编制，并完成代码实现工作；
4.         参与相关软件的技术预研，版本管控及相应的流程规范优化等工作；
5.         领导安排的其他工作。
任职要求：
1.通信、电子工程、自动化、计算机及其相关专业本科及以上学历。
2.本科要求有2年以上相关嵌入式、单片机软件开发的经验，熟悉控制原理和传感器检测技术，熟悉常用的A/D和D/A芯片的使用及LCD和PWM的控制等，熟悉VHDL语言的硬件开发。
3.熟练掌握C语言的单片机编程；
4.掌握各种通信协议的使用，如：RS232、RS422、RS485、I2C、CAN、MVB、SPI等。
5.熟悉嵌入系统调试时的问题的分析；
6.有较强的问题分析能力、沟通协作能力、有良好的文档编制和阅读英文器件手册的能力；
7.工作勤奋，做事认真，责任心强，态度积极；
8.注重团队合作，认同公司企业文化。
"
趣加游戏,自动化测试开发高级工程师/Lead-MeMe海外直播APP,面议_北京_本科或以上_6年工作经验,互联网/移动互联网/电子商务,前天,"岗位职责：
1.设计并执行具体的测试用例；执行较为复杂的手工测试、集成测试，以及回归测试   跟进产品迭代，详细了解需求文档，独立完成APP的测试流程，确保产品最终质量
2.记录前后端产品的问题，并能在手工、集成和回归测试的执行过程中通过简洁、精准和详尽的重现步骤帮助研发工程师快速第定位问题；验证/复核在追踪系统中已经标记为“解决”的问题；并维护追踪系统中每一个问题的最新状态
3.主动发现问题，深入了解用户反馈，能主动提出产品优化方案
4.提交bug并跟踪bug的整个生命周期，协助开发人员进行产品的改进和优化
职位要求：
1.计算机相关专业，本科以上学历，至少6年测试经验，至少3年以上测试开发经验，必须有APP测试经验
2.有测试经验，熟悉压力测试，熟悉APP测试流程，有Web应用测试经验优先
3.熟悉编写Android/iOS自动化测试脚本，有自动化测试框架搭建经验
4.了解HTTP协议、Web架构、RESTful API及互联网应用的工作原理
MeMe 直播 下载Web 官网: https://www.meme.chat/
MeMe 直播-海外视频直播平台，我们产品主要面向全球：港澳台、东南亚、日韩、中东和欧美地区，在台湾和东南亚等地拥有大量用户。团队成员为一线互联网公司背景和海归大牛！我们是一家年轻而前景美妙的互联网创业公司！我们希望一直保持创业的风格，坚持创新的团队理念，坚持开放和分享！
公司总部位于北京，在台湾和东南亚设有市场推广和运营分公司，在海外有几千位主播人员，主要的研发、美术、产品团队都在北京。
台湾地区负责人为原Line台湾地区总经理。主要的研发、美术、产品团队都在北京，台湾当地设有运营、市场和主播人员。
团队成员均毕业于国内一流名校，曾就职于BAT、Line、YY、Yahoo、微软、联想等知名移动互联网公司和一线Global公司。
我们的项目是由北京和台湾团队组成，两地联合在一起。我们这里有8090后严肃而活泼的工作态度，有你想要的高薪和发展空间，还有各种福利补贴让你眼花缭乱，加入我们，一起在玩耍中快速成长，大家一起做自己喜欢的产品。
我们的服务器使用 AWS, 在对产品热情追逐的同时，我们希望对技术也是同样的追求。
成长快速，前景广阔
能给优秀的你更大的舞台
公司目标是颠覆海外内容和娱乐产业，给你万亿级的市场想象空间。
"
美团点评,服务端测试开发工程师,18-36万_北京-朝阳区_本科或以上_3年工作经验,互联网/移动互联网/电子商务,前天,"【岗位职责】
1.负责美团点评到餐事业部相关产品的测试工作，保证产品质量，提升交付效率
2.参与需求和技术评审，根据需求来提高产品可测性
3.维护现有自动化测试体系，编写自动化测试脚本，改进测试效率
4.关注并引入行业前沿技术（工具、方法等），引领团队技术水平
5.负责培育、发展和管理团队，构建能用技术手段解决交付流程中痛点难点的QA团队
【职位要求】
1.熟悉TestNG，Junit等常见测试框架和实际测试经验或者自己参与开发过服务端测试框架
2.熟悉持续集成，有把服务端自动化测试用例与CI进行结合的实际经验
3.具有实际测试环境搭建和维护管理的实际经验
4.对服务端系统具有很好的系统Debug能力和问题排查能力，有较为系统的问题处理思路
5.掌握数据库、网络、Linux知识等基础知识
6.熟悉Java语言，并熟悉Ruby/Python/JavaScript/Shell等脚本语言中至少一种
【加分项】
1.熟悉压力测试，熟练使用压测工具Jmeter / Load Runner / http_load等；可以通过压测快速发现系统的瓶颈并提供解决办法
2.JVM原理的深入了解，如内存管理、类加载机制等
"
诚智汇达,测试开发工程师,5-7万_北京_大专或以上_经验不限,互联网/移动互联网/电子商务,2017-07-13,"岗位职责：
1、负责网站和系统接口功能测试、自动化测试、性能测试等；
2、根据产品需求，编写测试计划、设计测试用例、测试项目的执行，以及撰写测试报告；
3、能够准确、详实的描述问题产生的过程、现象，帮助开发工程师准确地定位并跟踪问题；
4、搭建和维护测试环境；
5、完成部门领导交办的特殊任务。
任职要求：
1、专科或以上学历，计算机相关专业；
2、具有1年以上互联网产品测试经验；
3、精通java语言，可以完成自动化测试用例的开发；
4、熟悉数据库基本操作；
5、良好的沟通能力和团队协作能力，积极主动，责任感强。
"
